user,text
b'Clericiadele',b'@VP This administration wants to give everyone free handouts. Why don\xe2\x80\x99t they encourage people to respect themselves\xe2\x80\xa6 https://t.co/dKBjSXDNqF'
b'Clericiadele',b'@VP Your administration is blind. Our poor children are going to suffer from your administrations poor judgment'
b'dontclicksend',"b""@VP That's fake-news!"""
b'KyuTeeLee1',b'@VP NOT FOR THE LAID OFF AND HOMELESS UNITED STATES CITIZENS ABROAD WHO CANNOT XASH THEIR STIMULUS CHECK WHEN USA B\xe2\x80\xa6 https://t.co/9yqGDnTNs0'
b'DianaHe77033914',"b'@VP Okay, it is time for the government to stop simply talking about sending out a 4th stimulus check and multiple\xe2\x80\xa6 https://t.co/BnH1POVYBy'"
b'jwfflipper',"b""@VP These aren't new jobs it's people returning to work after the lockdown. And giving money to lazy ass people who\xe2\x80\xa6 https://t.co/Fw4ZwNsTQH"""
b'bdy_bagd',b'@VP Did you giggle when you said this??'
b'aristoKathey',"b'@VP I\'m a fan but: ""an historic"".'"
b'BeastBelts',"b""@VP If it's so historic, why is inflation happening?"""
b'WorldoWarecraft',"b'@VP In all fairness, many of these jobs were waiting to be filled since the start of the pandemic. You and the Pres\xe2\x80\xa6 https://t.co/5zHY19nLEZ'"
b'Bluethought101',b'@VP Hows the border doing? #UnfuckAmerica #StopWithTheLies'
b'3rdGman',b'@VP What a big ass lie!!!!  Show proof of the jobs.  I\xe2\x80\x99ll show you the proof of the jobs lost!!!'
b'NunyaBi40907904',"b""@VP No you haven't. Government doesn't create jobs. Businesses do. You are paying people NOT TO WORK."""
b'AthensGlory',"b'@VP Hello, Are you trying to seek out an SEO expert, Digital marketer, social-media manager?Please contact, and\xe2\x80\xa6 https://t.co/6zTsxR2ypc'"
b'MedhatAsem_1',b'@VP I need your help #DV2021 #DV2020 I have a Dream https://t.co/aqoZkciieZ'
b'martinezadvisor',b'@VP @marabernal7 Pobre M\xc3\xa9xico\xe2\x80\xa6Tan lejos de USA y tan cerca del populismo.'
b'mikefarag5',"b'@VP Madam vp , president Obama biggest mistake, he thought his work will speak for itself. Hear come Trump and in l\xe2\x80\xa6 https://t.co/bsJwvFeqNn'"
b'bpstock01',b'@VP Congratulations Mme Vice-Pr\xc3\xa9sident... Continue your hard but very good work !'
b'mlynnricklefs',b'@VP The only thing you\xe2\x80\x99ve created is more problems.'
b'GrundleThadius',"b'@VP You didnt creat ANYTHING. Democratic states are finally ""allowing"" adults to go back to work, after forcing the\xe2\x80\xa6 https://t.co/2qmDiVkHzB'"
b'fu52578868',b'@VP Hello \xf0\x9f\x92\x90\xf0\x9f\x92\x96\xf0\x9f\x92\x9e\xf0\x9f\x92\x90\xf0\x9f\x92\x96\xf0\x9f\x92\x9e'
b'LioxLord',b'@VP You and sleepy are a fucking disgrace.'
b'MikeParnell14',b'@VP Are you serious? Such a delusional crowd.'
b'Josh07799969',b'@VP People are going back to the jobs you and your kind forced them out of with this covid false flag operation tha\xe2\x80\xa6 https://t.co/JDFnzYxqrM'
b'LutfShafiq',b'@VP You have achieved success in adding and receiving immigrants to America in a lottery way unless any previous ad\xe2\x80\xa6 https://t.co/c6kp8J3HGi'
b'Ashutos34135242',b'@VP Well done.'
b'William66463148',"b""@VP You did not create the job's the people just went back to work"""
b'enoughpplthink',b'@VP Enough all ready you are not qualified for office. History will laugh at this administration'
b'MariaBena9',"b'@VP You are now the Vice President, and this is thanks to your parents who were immigrants. Please help us to give\xe2\x80\xa6 https://t.co/9707r6LduX'"
b'Carl71180075',b'@VP Call governor Abbott election know how to go about fixing the border crisisCall governor Abbott he will show\xe2\x80\xa6 https://t.co/exqTaIVcDp'
b'jsmith70301',b'@VP No you haven\xe2\x80\x99t'
b'Sandra22507079',b'@VP The economy opening back up and the vaccines created by Operation Warp Speed are why the job numbers have begun\xe2\x80\xa6 https://t.co/EUk0JwziyU'
