UserName,Handle,Timestamp,Text
The Recount,@therecount,2021-03-02T20:26:36.000Z,"Replying to 
@GregAbbott_TXHere is Gov. Abbott ending the statewide mask mandate and opening all Texas businesses:"
Laura,@leleana,2021-03-02T20:33:49.000Z,"Replying to 
@GregAbbott_TXHi, Texan here. I'd love to know WHY you did this with science to prove the logic behind your decision making. Because I truly believe this is irresponsible for our public health."
Art Martin,@gartmartin9,2021-03-02T21:10:08.000Z,"Replying to 
@GregAbbott_TXThis tweet needs to be archived to be used at your trial for Covid crimes against humanity.
as of today...March 2
2.6 million cases.  44, 107 deaths in Texas.
----
by april 2 that number will have spiked significantly"
"Ashley Bartholomew, BSN, RN",@TheBlondeRN,2021-03-02T21:29:51.000Z,"Replying to 
@GregAbbott_TXAs an RN and one of your constituents, this is a terrible move. 

I’m so disappointed and frustrated you won’t back the basic CDC recommendations that are killing Texans and Americans. Masks save lives. Period. 

Shameful."
Anastasios Vrakas,@Anastasios_Vr1,2021-03-02T21:46:53.000Z,"Replying to 
@GregAbbott_TX-->93,5% of Texans haven't gotten their vaccine yet.. 
-->42K deaths so far..
Ironic comment alert:
Great job Governor!! Now let's pick a song that matches the occasion!
I suggest ""Highway to hell"" by AC/DC 
#COVIDIDIOTS"
GOAT DONČIĆ,@LukaGOAT2,2021-03-02T21:48:58.000Z,"Replying to 
@GregAbbott_TX
 and 
@IcyGallupFunny how everyone outside of Texas is against this but the actual Texans are happy...if you aren’t from here than I don’t wanna hear it"
Leslie,@beachboo7,2021-03-02T22:24:11.000Z,"Replying to 
@GregAbbott_TXDon't take medical advice from a guy who thinks frozen gas and coal is caused by windmills."
"BeaglesResist, House of Pfizer",@BeaglesResist,2021-03-03T01:12:45.000Z,"Replying to 
@GregAbbott_TXBetween $15K electric bills, a failed power grid, politicians who take off on vacation while the people suffer, and your irresponsible handling of the century's worst public health crisis, there won't be anything to ""open"" in another few years."
Ty Ross,@cooltxchick,2021-03-03T02:59:14.000Z,"Replying to 
@GregAbbott_TXTick tock Governor #BetoForGovernor"
Wigging It Etc,@Wiggingitetc,2021-03-03T03:40:28.000Z,"Replying to 
@GregAbbott_TXMURDERER! EVERY DEATH that follows this decision is yours it would be premeditated murder because you knew what doing this would do!

You know people of color are going to be more affected, yet you're risking the lives of TEXANS to sabotage BIDEN for "
Jeremy Ragonese,@JeremyRagonese,2021-03-03T07:55:48.000Z,"Replying to 
@GregAbbott_TXTexas: it’s like a whole other third world country.
- failed power grid
- failed basic water services
- failed state leadership
- 44,000+ dead from COVID (basically Galvaston‘s population)
- Even Ted Cruz wants to get the hell out

Good luck, Gov. You going to need it."
Dixie Mcguffin,@DixieMcguffin,2021-03-04T03:07:06.000Z,"Replying to 
@GregAbbott_TXThank you for common sense for a ""virus"" that has supposedly killed less than 1% of the population, if that many. It's not about the virus ppl. It's about the Swamp having control over us peons. #FreedomMatters"
SirChano,@SirChano78,2021-03-04T13:27:04.000Z,"Replying to 
@GregAbbott_TXGood job. The government has caused the economy to tank, not covid. The only pandemic there is, is the pandemic of paranoia."
Linda Price,@lkprice146,2021-03-04T14:54:11.000Z,"Replying to 
@GregAbbott_TXSmart move, people are smart enough to run their own lives. Im proud of your decision, as are thousands of others. We cant continue to live like this. Our children are the ones suffering."
Kirk Reynolds,@WKirkReynolds,2021-03-04T17:42:52.000Z,"Replying to 
@GregAbbott_TXThe vaccines are now headed to other states who have controlled the virus. Texas just needs morgues now 'cause you don't want to litter the Lone Star State with dead bodies. That would be ugly."
Johnny Two-tone Blue,@TheMovieGuy1970,2021-03-04T19:04:57.000Z,"Replying to 
@GregAbbott_TXHow does it feel to know that your state and your actions catapulted this country further into a COVID crisis, that hundreds maybe even thousands will die because of your decision. "
Rudy Aguilar,@raguilar1946,2021-03-05T00:45:38.000Z,"Replying to 
@GregAbbott_TXI hope you pay big time if any new variances don't stay in Texas and spread to other states that are following good protocol regarding Covid19. Neanderthal thinking!"
Kalman Laslo,@LasloKalman,2021-03-05T03:42:57.000Z,"Replying to 
@GregAbbott_TX
 and 
@epra72R.I.P everyone about it to die in Texas"
Raymond Weaver,@Raymond21334222,2021-03-05T14:36:58.000Z,"Replying to 
@GregAbbott_TXLove seeing all the melt down tweets from the kool aid drinkers. I haven’t wore a mask since this started and I haven’t contracted covid. And before anyone says anything, I have worked the entire time out in the public. And scientists have said masks don’t work."
Cherry,@CherryBSBerry,2021-03-09T17:41:29.000Z,"Replying to 
@GregAbbott_TXShould have never forced it on free citizens to begin with. You killed small businesses and financially hurt families because of the China Virus. From the get go it should have been the individuals' choice if they wanted to wear a mask or not. Forced gov't control, bad leadership"
Kat,@VTweddingPhoto,2021-03-18T14:34:27.000Z,"Replying to 
@GregAbbott_TXEverything is bigger in Texas, including the stupid."
TheBrownIsland,@TheBrownIsland1,2021-03-20T15:38:43.000Z,"Replying to 
@GregAbbott_TX
 and 
@bram6597Responsible people are still going to be Wearing Masks  regardless, still socially distancing while out and getting Vaccines. So whatever.

Only the ones who contribute to the Spread & Deaths by Not following Guidelines will be walking around in Crowds & Public places Maskless."
lol,@Chayton44367939,2021-03-26T18:05:28.000Z,"Replying to 
@GregAbbott_TXyour entire infrastructure collapsed because of some cold weather what do you think a worldwide pandemic is gonna do to it"
karl :),@KarlJacobs_,2021-03-02T23:47:05.000Z,"Replying to 
@GregAbbott_TXDumb ass "
Lauren Boebert,@laurenboebert,2021-03-02T20:25:47.000Z,"Replying to 
@GregAbbott_TXGod Bless Texas!"
Nicole Maines,@NicoleAMaines,2021-03-02T20:26:39.000Z,"Replying to 
@GregAbbott_TXYou are knowingly putting people’s lives in danger."
Daisy,@DaisySoul7,2021-03-02T20:30:12.000Z,"Replying to 
@GregAbbott_TX""Please don't be mad that I abandoned you during the freeze. Here this should make you forget all that. See, see I'm good."""
Senator Bribeluncheon,@FuzzyMarth,2021-03-02T20:52:14.000Z,"Replying to 
@GregAbbott_TX“unfortunately after the storm some Texans were left alive. i have taken swift action to correct that”"
Jonathan Jewel,@jonathanjewel,2021-03-02T20:53:46.000Z,"Replying to 
@GregAbbott_TXCongrats to the Texas funeral industry- you’re going to be REAL busy 

RIP Texas"
Khashoggi’s Ghost,@UROCKlive1,2021-03-02T20:58:17.000Z,"Replying to 
@GregAbbott_TXCongratulations! You're an idiot and more constituents will die.

Yet you seem proud of yourself for doing the dumbest possible thing.

Why not deregulate some more and kill some others that way, too?

Sure am glad I don't live in Texas. Hope they're smart enough to vote you out."
Catsen,@catsen,2021-03-02T21:21:35.000Z,"Replying to 
@GregAbbott_TX"
Commander Cody 0,@ComCodyCC2224,2021-03-02T21:24:47.000Z,"Replying to 
@GregAbbott_TXThis man is knowingly putting millions at risk again, my wife works as hairstylist where she is up close to people also ppl who complain about masks. Not that these have been taken, she's going to exposed to God knows how many infected. Anything happens to her 1/2"
#ThePersistence,@ScottPresler,2021-03-02T21:28:36.000Z,"Replying to 
@GregAbbott_TXThank you, Governor 
@GregAbbott_TX
, for lifting the mask mandate.

To American business owners, moms, & dads, 

please know that Republicans are working to open the economy & our schools. 

We are fighting for freedom."
albert,@AlbertsStuff,2021-03-02T21:49:12.000Z,"Replying to 
@GregAbbott_TXarent u old as hell shouldnt u be worried about covid"
Blaine Gibson,@BGibbles,2021-03-02T22:04:58.000Z,"Replying to 
@GregAbbott_TXYou’re a worthless leader. Absolute dog shit. Lifting the mask mandate will result in so many unnecessary deaths you dumb mother fucker."
Jessica,@RancidGinger,2021-03-02T22:29:11.000Z,"Replying to 
@GregAbbott_TXMy 14 year old disabled son, who is missing half a lung, and could die if he catches Covid will get to spend another year in self isolation because of you. 

Arrogance meets idiocy in the body of a man who looks like Don Knotts and Andy Griffith had a smarmy butt baby."
KreekCraft,@KreekCraft,2021-03-02T22:37:27.000Z,"Replying to 
@GregAbbott_TX"
Patricia Arquette,@PattyArquette,2021-03-03T01:49:10.000Z,"Replying to 
@GregAbbott_TXBecause one catastrophe on your hands this year is just not enough for you?"
"Salim R. Rezaie, MD",@srrezaie,2021-03-03T03:48:18.000Z,"Replying to 
@GregAbbott_TXAs a frontline ER doc in San Antonio...
@GregAbbott_TX
 removing mask mandate sends wrong message to public...the pandemic is not over and this is a BIG mistake...

For everyone else...PSA: DO NOT look to political leaders with no medical background for your medical advice"
Soozcat,@cosmicfunpalace,2021-03-03T04:25:22.000Z,"Replying to 
@GregAbbott_TXI am so, SO glad you're not my governor."
boogie2988,@Boogie2988,2021-03-03T06:04:33.000Z,"Replying to 
@GregAbbott_TXIts wild seeing a mass murderer tweeting about how excited he is to be killing people."
Patricia Arquette,@PattyArquette,2021-03-03T08:28:08.000Z,"Replying to 
@GregAbbott_TXJust when COVID numbers were going down... give it more hosts!"
Aren Jackson,@InkedAjax,2021-03-03T11:30:58.000Z,"Replying to 
@GregAbbott_TXI apologize in advance for my ignorance of US politics (I'm Canadian), but during a nationwide/worldwide pandemic, doesn't the president retain the rights to implement mask and lockdown procedures or do the state governors have total control of their respective states?"
Peter Merlin Cane,@PeterMerlinCane,2021-03-03T15:12:08.000Z,"Replying to 
@GregAbbott_TXI have reported this tweet for encouraging others to self-harm or suicide. It is not a matter of politics, it is not a matter of opinion. Medical authorities are VERY clear that discarding masks and a full return to work will kill people. I suggest you report him also."
Patricia Arquette,@PattyArquette,2021-03-03T21:04:17.000Z,"Replying to 
@GregAbbott_TXYou know you could have opened and still had a mask mandate to keep everyone safer right?"
Hugh G Merriman MD,@merriman_md,2021-03-04T00:36:39.000Z,"Replying to 
@GregAbbott_TXThere are presently over 6,000 people hospitalized in Texas with Covid. 

Less than 7% of Texans have been vaccinated. 

The Texas hospital system was overwhelmed as recently as December.

Look for the NEW surge of Covid hospital admissions to spike around March 15th."
Chris Brewer,@bearlybrew,2021-03-05T00:34:28.000Z,"Replying to 
@GregAbbott_TXAs a nurse I can’t begin to tell you much this disappoints me.
I get opening up but why drop the mask mandate.
Open for a month then if numbers stay low drop the mandate.
Will not be voting for you."
Jim Docherty,@jdoc1962,2021-03-07T13:11:03.000Z,"Replying to 
@GregAbbott_TXAbbott you are doing this to distract people from your failure during the latest freeze.  It won’t work."
steve,@spra10,2021-03-09T02:15:29.000Z,"Replying to 
@GregAbbott_TXProud American and we are proud of your leadership!! 
Happy to be in Texas ( recently moved from Norcal"
Bishop Talbert Swan,@TalbertSwan,2021-03-14T05:34:59.000Z,"Replying to 
@GregAbbott_TXMurderer."
Hit Songs 4 Singers,@SongsForSingers,2021-03-18T00:26:11.000Z,"Replying to 
@GregAbbott_TX
 and 
@ChanelRionThe people who 'forced' their will onto others against the other's will with a mask mandate in the first place are dis-connected (cut-off) from Conscience (Source, God). 
They owe WE THE PEOPLE a sincere apology."
cyn,@cynastmann,2021-03-20T04:14:16.000Z,"Replying to 
@GregAbbott_TXhuh. well, i just announced that we’re replacing all of the wheelchair ramps in the governor’s mansion with open pits to hell. good luck! "
